# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=0
# stan_version_patch=2
# data=data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=687032947
# chain_id=1
# iter=200
# warmup=100
# thin=1
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,stepsize__,alpha,beta,sigma
# (mcmc::nuts_diag) adaptation finished
# step size=0.255526
# parameter step size multipliers:
# 0.714166,0.574339,1.46973
3.45162,1,0.255526,3.02629,1.07477,0.360669
3.84317,1,0.255526,2.80837,0.992389,0.236239
6.4898,2,0.255526,2.97165,1.03651,0.167369
6.4898,1,0.255526,2.97165,1.03651,0.167369
6.4898,1,0.255526,2.97165,1.03651,0.167369
6.4898,1,0.255526,2.97165,1.03651,0.167369
6.4898,1,0.255526,2.97165,1.03651,0.167369
4.47263,2,0.255526,3.10654,1.06311,0.238095
4.47263,1,0.255526,3.10654,1.06311,0.238095
4.47263,1,0.255526,3.10654,1.06311,0.238095
4.47263,2,0.255526,3.10654,1.06311,0.238095
4.47263,1,0.255526,3.10654,1.06311,0.238095
4.47263,2,0.255526,3.10654,1.06311,0.238095
4.47263,1,0.255526,3.10654,1.06311,0.238095
3.78141,3,0.255526,3.14297,0.9899,0.304825
3.78141,1,0.255526,3.14297,0.9899,0.304825
0.749069,2,0.255526,2.72804,1.20295,0.551295
0.749069,2,0.255526,2.72804,1.20295,0.551295
-0.22061,2,0.255526,2.6791,1.28047,0.482715
1.62909,2,0.255526,2.84689,0.811234,0.481063
3.12187,2,0.255526,3.12321,0.911896,0.357464
4.40567,1,0.255526,2.92526,1.01997,0.29154
4.40567,1,0.255526,2.92526,1.01997,0.29154
4.40567,1,0.255526,2.92526,1.01997,0.29154
4.40567,2,0.255526,2.92526,1.01997,0.29154
4.40567,2,0.255526,2.92526,1.01997,0.29154
4.38867,1,0.255526,3.05605,0.923153,0.267804
4.38867,1,0.255526,3.05605,0.923153,0.267804
2.0738,2,0.255526,2.89674,1.18358,0.396472
2.67652,2,0.255526,2.75086,1.03965,0.324739
4.52297,1,0.255526,3.10642,1.02532,0.25935
5.51798,1,0.255526,2.92957,1.00372,0.217039
5.51798,1,0.255526,2.92957,1.00372,0.217039
5.51798,1,0.255526,2.92957,1.00372,0.217039
4.00034,2,0.255526,3.08073,0.91868,0.289361
4.00034,1,0.255526,3.08073,0.91868,0.289361
1.26474,1,0.255526,3.04441,1.0003,0.652618
0.970449,2,0.255526,2.72614,0.939367,0.64538
1.60093,1,0.255526,2.70249,1.02367,0.500041
2.91185,1,0.255526,2.80199,1.02645,0.373697
2.60204,2,0.255526,2.96858,1.1511,0.389197
3.9348,1,0.255526,3.09146,1.02463,0.318462
3.09811,1,0.255526,2.81133,0.914907,0.313991
2.53168,1,0.255526,2.82074,1.12745,0.353986
1.70522,2,0.255526,3.17172,0.842545,0.472393
2.35304,3,0.255526,2.82779,1.0784,0.448479
2.9631,2,0.255526,2.77963,1.04686,0.322696
3.01638,2,0.255526,3.19172,1.08674,0.257364
3.01638,1,0.255526,3.19172,1.08674,0.257364
3.01638,1,0.255526,3.19172,1.08674,0.257364
3.40273,2,0.255526,2.87624,0.986984,0.367011
3.40273,1,0.255526,2.87624,0.986984,0.367011
2.45947,1,0.255526,2.89681,0.92127,0.467304
2.39938,2,0.255526,3.058,0.823895,0.224514
2.39938,1,0.255526,3.058,0.823895,0.224514
3.59092,2,0.255526,2.82978,1.04642,0.299049
3.59092,1,0.255526,2.82978,1.04642,0.299049
3.59092,2,0.255526,2.82978,1.04642,0.299049
3.59092,1,0.255526,2.82978,1.04642,0.299049
2.51502,1,0.255526,2.80687,0.865354,0.289277
2.51502,1,0.255526,2.80687,0.865354,0.289277
2.94202,2,0.255526,3.13379,1.12992,0.296681
3.81993,1,0.255526,2.91563,0.917944,0.312307
3.81993,1,0.255526,2.91563,0.917944,0.312307
4.3469,1,0.255526,2.99075,1.02832,0.304317
4.3469,1,0.255526,2.99075,1.02832,0.304317
3.45362,2,0.255526,3.07797,1.05264,0.359562
5.17509,3,0.255526,3.07301,1.02061,0.231442
4.50809,2,0.255526,2.92449,1.07473,0.251284
4.42433,3,0.255526,3.0842,1.08592,0.231
4.42433,2,0.255526,3.0842,1.08592,0.231
4.42433,1,0.255526,3.0842,1.08592,0.231
4.84274,3,0.255526,2.93174,1.04995,0.247858
4.84274,1,0.255526,2.93174,1.04995,0.247858
4.84274,1,0.255526,2.93174,1.04995,0.247858
4.84274,1,0.255526,2.93174,1.04995,0.247858
4.84274,2,0.255526,2.93174,1.04995,0.247858
4.84274,1,0.255526,2.93174,1.04995,0.247858
4.84274,1,0.255526,2.93174,1.04995,0.247858
4.84274,1,0.255526,2.93174,1.04995,0.247858
4.84274,1,0.255526,2.93174,1.04995,0.247858
4.84274,1,0.255526,2.93174,1.04995,0.247858
2.59225,2,0.255526,3.24107,0.945694,0.263496
3.2699,2,0.255526,2.90793,1.1016,0.347018
2.73466,2,0.255526,2.92767,0.94904,0.449269
2.52521,1,0.255526,2.99404,1.14547,0.409653
2.52521,2,0.255526,2.99404,1.14547,0.409653
2.52521,1,0.255526,2.99404,1.14547,0.409653
2.52521,1,0.255526,2.99404,1.14547,0.409653
